model,AIC,BIC,deviance,df_residual,n_params,delta_AIC,delta_BIC
Demographics,1107.682830029531,1141.3923099600513,1093.682830029531,905,7,50.35870407882362,42.92335857774128
+ Symbolic,1102.0292366669933,1140.5543565875878,1086.0292366669933,904,8,44.705110716285844,42.085405205277766
+ Explicit,1059.9438314617155,1098.46895138231,1043.9438314617155,904,8,2.6197055110080782,0
Both,1057.3241259507074,1100.6648858613764,1039.3241259507074,903,9,0,2.195934479066409
